ID	DaylightName	StandardName	RawUtcOffset	DisplayName	SupportsDST
SA Eastern Standard Time	SA Eastern Daylight Time	SA Eastern Standard Time	-03:00:00	(UTC-03:00) Cayenne, Fortaleza	False	
Greenland Standard Time	Greenland Daylight Time	Greenland Standard Time	-03:00:00	(UTC-03:00) Greenland	True	
Montevideo Standard Time	Montevideo Daylight Time	Montevideo Standard Time	-03:00:00	(UTC-03:00) Montevideo	True	
Bahia Standard Time	Bahia Daylight Time	Bahia Standard Time	-03:00:00	(UTC-03:00) Salvador	True	
UTC-02	UTC-02	UTC-02	-02:00:00	(UTC-02:00) Coordinated Universal Time-02	False	
Mid-Atlantic Standard Time	Mid-Atlantic Daylight Time	Mid-Atlantic Standard Time	-02:00:00	(UTC-02:00) Mid-Atlantic - Old	True	
Azores Standard Time	Azores Daylight Time	Azores Standard Time	-01:00:00	(UTC-01:00) Azores	True	
Cape Verde Standard Time	Cape Verde Daylight Time	Cape Verde Standard Time	-01:00:00	(UTC-01:00) Cape Verde Is.	False	
Morocco Standard Time	Morocco Daylight Time	Morocco Standard Time	00:00:00	(UTC) Casablanca	True	
UTC	Coordinated Universal Time	Coordinated Universal Time	00:00:00	(UTC) Coordinated Universal Time	False	
GMT Standard Time	GMT Daylight Time	GMT Standard Time	00:00:00	(UTC) Dublin, Edinburgh, Lisbon, London	True	
Greenwich Standard Time	Greenwich Daylight Time	Greenwich Standard Time	00:00:00	(UTC) Monrovia, Reykjavik	False	
W. Europe Standard Time	W. Europe Daylight Time	W. Europe Standard Time	01:00:00	(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna	True	
Central Europe Standard Time	Central Europe Daylight Time	Central Europe Standard Time	01:00:00	(UTC+01:00) Belgrade, Bratislava, Budapest, Ljubljana, Prague	True	
Romance Standard Time	Romance Daylight Time	Romance Standard Time	01:00:00	(UTC+01:00) Brussels, Copenhagen, Madrid, Paris	True	
Central European Standard Time	Central European Daylight Time	Central European Standard Time	01:00:00	(UTC+01:00) Sarajevo, Skopje, Warsaw, Zagreb	True	
W. Central Africa Standard Time	W. Central Africa Daylight Time	W. Central Africa Standard Time	01:00:00	(UTC+01:00) West Central Africa	False	
Namibia Standard Time	Namibia Daylight Time	Namibia Standard Time	01:00:00	(UTC+01:00) Windhoek	True	
GTB Standard Time	GTB Daylight Time	GTB Standard Time	02:00:00	(UTC+02:00) Athens, Bucharest	True	
Middle East Standard Time	Middle East Daylight Time	Middle East Standard Time	02:00:00	(UTC+02:00) Beirut	True	
Egypt Standard Time	Egypt Daylight Time	Egypt Standard Time	02:00:00	(UTC+02:00) Cairo	True	
Syria Standard Time	Syria Daylight Time	Syria Standard Time	02:00:00	(UTC+02:00) Damascus	True	
E. Europe Standard Time	E. Europe Daylight Time	E. Europe Standard Time	02:00:00	(UTC+02:00) E. Europe	True	
South Africa Standard Time	South Africa Daylight Time	South Africa Standard Time	02:00:00	(UTC+02:00) Harare, Pretoria	False	
FLE Standard Time	FLE Daylight Time	FLE Standard Time	02:00:00	(UTC+02:00) Helsinki, Kyiv, Riga, Sofia, Tallinn, Vilnius	True	
Turkey Standard Time	Turkey Daylight Time	Turkey Standard Time	02:00:00	(UTC+02:00) Istanbul	True	
Israel Standard Time	Jerusalem Daylight Time	Jerusalem Standard Time	02:00:00	(UTC+02:00) Jerusalem	True	
Libya Standard Time	Libya Daylight Time	Libya Standard Time	02:00:00	(UTC+02:00) Tripoli	True	
Jordan Standard Time	Jordan Daylight Time	Jordan Standard Time	03:00:00	(UTC+03:00) Amman	True	
Arabic Standard Time	Arabic Daylight Time	Arabic Standard Time	03:00:00	(UTC+03:00) Baghdad	True	
